DAY,Section,ROOM1,11-12,ROOM2,12-1,ROOM3,1-2,ROOM4,3-4,ROOM5,4-5
FRI,ML_CS-7,X,X,X,X,X,X,X,X,X,X
FRI,ML_CS-8,X,X,C-LH-303,ML(DE),X,X,X,X,X,X
FRI,ML_CS-9,X,X,C-LH-401,ML(DE),X,X,X,X,X,X
FRI,ML_CS-10,X,X,C-LH-002,ML(DE),X,X,X,X,X,X
FRI,ML_CS-11,X,X,C-LH-003,ML(DE),X,X,X,X,X,X
FRI,ML_CS-12,X,X,C-LH-004,ML(DE),X,X,X,X,X,X
FRI,ML_CS-13,X,X,C-LH-204,ML(DE),X,X,X,X,X,X
FRI,ML_CS-14,X,X,X,X,X,X,X,X,X,X
FRI,IOT_CS-1,X,X,C-LH-403,IOT(DE),X,X,X,X,X,X
FRI,IOT_CS-2,X,X,C-LH-404,IOT(DE),X,X,X,X,X,X
FRI,IOT_CS-3,X,X,C-LH-405,IOT(DE),X,X,X,X,X,X
FRI,IOT_CS-4,X,X,C-LH-201,IOT(DE),X,X,X,X,X,X
FRI,IOT_CS-5,X,X,C-LH-202,IOT(DE),X,X,X,X,X,X
FRI,IOT_CS-6,X,X,X,X,X,X,X,X,X,X
FRI,NLP_CS-1,C-LH-404,NLP(DE),X,X,X,X,X,X,X,X
FRI,NLP_CS-2,X,X,X,X,C-LH-201,NLP(DE),X,X,X,X
FRI,NLP_CS-3,X,X,X,X,C-LH-202,NLP(DE),X,X,X,X
FRI,DA_CS-1,C-LH-405,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-2,X,X,X,X,C-LH-203,DA(DE),X,X,X,X
FRI,DA_CS-3,C-LH-201,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-4,X,X,X,X,C-LH-301,DA(DE),X,X,X,X
FRI,DA_CS-5,C-LH-202,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-6,C-LH-203,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-7,C-LH-301,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-8,X,X,X,X,C-LH-302,DA(DE),X,X,X,X
FRI,DA_CS-9,C-LH-302,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-10,C-LH-303,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-11,C-LH-401,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-12,X,X,X,X,C-LH-303,DA(DE),X,X,X,X
FRI,DA_CS-13,X,X,X,X,C-LH-401,DA(DE),X,X,X,X
FRI,DA_CS-14,X,X,X,X,C-LH-002,DA(DE),X,X,X,X
FRI,DA_CS-15,C-LH-003,DA(DE),X,X,X,X,X,X,X,X
FRI,DA_CS-16,X,X,X,X,C-LH-004,DA(DE),X,X,X,X
FRI,DA_CS-17,X,X,X,X,C-LH-204,DA(DE),X,X,X,X
